PostID,CommentTime,CommenterID,CommentContent
3523,2018-03-15T12:59:53Z,313,@Roderick ik wel!!
3206,2018-03-14T13:53:09Z,374,@lisanne
3092,2018-03-15T10:03:41Z,222,Leuk
3110,2018-03-15T10:37:03Z,453,@niels wat voor jou?
3405,2018-03-14T13:22:59Z,354,Charlotte! Jij bent raar!
3382,2018-03-14T21:58:17Z,268,Nu ben ik ook benieuwd
3220,2018-03-14T13:54:31Z,374,emoji raising hands 1/2
2809,2018-03-14T15:00:49Z,365,Hahah
3685,2018-03-19T16:07:11Z,111,Ga naar Visus Oogkliniek. Ik heb vo rige maand gedaan en ben niet blind emoji OK hand emoji OK hand
3655,2018-03-18T22:11:07Z,111,@bobvannoort @seqojaparera @ @florianhesselink @calvijnsmid
3626,2018-03-18T09:20:12Z,365,Super mooi
3616,2018-03-19T15:11:41Z,229,emoji folded hands 1/2 emoji folded hands 1/2
3586,2018-03-16T22:30:44Z,142,Ik ook
3779,2018-03-22T10:52:07Z,315,emoji face blowing a kiss emoji face blowing a kiss
3776,2018-03-22T14:50:48Z,365,emoji grinning face with sweat
3778,2018-03-22T14:14:37Z,394,Mijn rating gaat echt -100 worden
3773,2018-03-22T09:16:06Z,139,Woehoeee
3771,2018-03-21T19:18:24Z,333,Goud
3770,2018-03-23T08:20:40Z,327,Hahaha
3747,2018-03-21T09:26:24Z,333,Wat een focking vette foto. L ets gooooo
3744,2018-03-20T23:20:37Z,282,emoji smiling face with heart-eyes
3745,2018-03-21T12:41:12Z,233,@fleurslobbe @ruthvandegeer @irisvanbohemen
3733,2018-03-20T20:37:37Z,233,@fleurslobbe @ruthvandegeer
3722,2018-03-20T14:28:48Z,227,DIT emoji backhand index pointing up emoji backhand index pointing up emoji backhand index pointing up
3723,2018-03-20T22:03:41Z,178,I relate to this on many levels
3695,2018-03-20T09:57:36Z,460,@Fleurslobbe @Lilykramer
3696,2018-03-20T10:56:29Z,420,@iljadonkervoort
3865,2018-03-25T10:59:27Z,468,Ahhhw
3860,2018-03-25T12:47:52Z,207,@louanne emoji face with tears of joy
3843,2018-03-24T03:09:34Z,229,emoji face screaming in fear 1/2 emoji female sign
3840,2018-03-25T00:33:18Z,107,Ooooh sjiiiit
3835,2018-03-24T21:16:52Z,328,Thanks Saaaar haha
3827,2018-03-23T23:57:39Z,374,@lisanne @tamara
3829,2018-03-24T15:17:06Z,266,Thanks!
3808,2018-03-23T10:25:38Z,365,Heftig
3807,2018-03-23T11:08:14Z,205,emoji OK hand emoji smiling cat face with heart-eyes
3938,2018-03-27T17:29:04Z,195,Fijn x
3942,2018-03-27T11:45:29Z,106,"Cant handle, gaat wel fout zo kort na de tentamens @koner"
3937,2018-03-27T09:54:00Z,231,Back
3932,2018-03-27T12:04:46Z,432,Hahahah geweldig emoji face with tears of joy
3933,2018-03-26T19:01:55Z,266,Lol
3929,2018-03-26T15:36:39Z,468,emoji woman dancing 1/2 emoji woman dancing 1/2
3926,2018-03-26T15:05:23Z,395,Hahahaha emoji face with tears of joy emoji face with tears of joy
3903,2018-03-26T15:12:28Z,333,emoji face with tears of joy
3910,2018-03-26T08:35:37Z,365,emoji clapping hands emoji grinning face with smiling eyes
3990,2018-03-31T09:57:29Z,181,Leuuk
3988,2018-03-28T10:19:06Z,366,emoji face with tears of joy
3972,2018-03-28T09:03:25Z,181,@maaikedk jij
3964,2018-03-28T10:07:48Z,180,@maaike @liselotte looool
4112,2018-04-01T10:54:39Z,395,emoji face with tears of joy emoji weary face
4111,2018-03-31T17:31:50Z,197,Vlieft
4110,2018-03-31T14:22:49Z,229,Me af
4105,2018-03-31T23:21:04Z,179,Hahaha
4094,2018-03-31T17:33:07Z,197,@andreaduijs
4069,2018-03-31T09:53:37Z,181,emoji smiling face with heart-eyes
4033,2018-04-01T21:11:23Z,304,Was er wel bij! emoji party popper
4029,2018-03-30T10:01:02Z,468,emoji anguished face
3998,2018-04-01T12:21:51Z,418,@bob wat tips voor jou
3997,2018-03-29T09:02:15Z,136,Annebelle Janssen
3996,2018-03-30T12:20:24Z,180,emoji hundred points emoji hundred points emoji hundred points
4185,2018-04-02T22:49:30Z,181,Kei mooi ey
4182,2018-04-02T21:24:06Z,229,emoji face with tears of joy
4169,2018-04-02T19:06:11Z,140,Fantastisch!
4166,2018-04-03T11:13:29Z,389,Altijd goed
4164,2018-04-02T10:45:11Z,207,@Louanne
4160,2018-04-02T17:39:33Z,332,Wat een cutie emoji smiling face with heart-eyes
4147,2018-04-01T12:37:36Z,312,emoji face with tears of joy
4143,2018-03-31T18:05:26Z,199,Cute
4217,2018-04-04T09:32:27Z,366,emoji face with tears of joy
4213,2018-04-05T10:26:16Z,427,emoji fire emoji fire emoji fire
4212,2018-04-04T11:01:48Z,468,Tamsii
4208,2018-04-05T10:11:08Z,228,Love it
4547,2018-04-07T14:43:03Z,296,Have fun he sgaties! emoji face blowing a kiss
4546,2018-04-08T18:21:15Z,298,Hoi dion hoe is het nou?
4534,2018-04-07T17:34:04Z,229,emoji face with tears of joy emoji face with tears of joy emoji face with tears of joy
4531,2018-04-07T13:03:59Z,389,Goeie kunst aan de muur
4276,2018-04-07T10:10:27Z,365,NA
4270,2018-04-07T09:56:06Z,468,@tamara
4268,2018-04-06T09:37:05Z,445,hahaha zelfs met voorbereiden van het dit emoji grinning face with sweat
4269,2018-04-06T10:58:06Z,106,@bart @bobba @flo @koner mochten jullie nu ook aan t soggen zijn
4258,2018-04-06T09:04:21Z,373,emoji backhand index pointing up
4250,2018-04-05T23:02:46Z,298,Leuk Dion
4244,2018-04-06T14:03:23Z,180,wow wat tof
4574,2018-04-08T13:29:14Z,106,"""Heb je gisteren alcohol gedronken"""
4573,2018-04-08T19:27:25Z,178,Aaawh emoji smiling face with heart-eyes
4567,2018-04-08T13:31:17Z,107,"Geen selfie, dus -1"
4556,2018-04-08T20:41:54Z,195,Hahahahaha
4636,2018-04-11T08:27:22Z,366,emoji face with tears of joy
4632,2018-04-10T22:34:46Z,427,Geinig see you there
4622,2018-04-10T13:07:16Z,327,emoji clinking beer mugs
4610,2018-04-10T12:44:20Z,394,Hahaha wtf
4606,2018-04-11T11:02:38Z,180,leukk emoji face blowing a kiss
4593,2018-04-10T13:39:23Z,325,Haha bedankt maat
4592,2018-04-10T23:06:04Z,266,RT
4738,2018-04-16T08:06:27Z,365,Gefeliciteerd
4731,2018-04-16T15:48:58Z,394,@nicolien ga iemand van je eigen lengte pesten joh :')
4732,2018-04-15T16:34:18Z,468,Lol
4724,2018-04-16T00:16:23Z,359,van heijningen... we spreken morgen op kantoor
4723,2018-04-16T09:24:51Z,449,emoji cat face with tears of joy emoji cat face with tears of joy
4714,2018-04-14T09:57:54Z,179,Wat een aparte post
4705,2018-04-14T10:22:49Z,231,Ik gepest door emma @lilykramer
4704,2018-04-15T18:43:04Z,297,Wie doet er meeeee?
4703,2018-04-14T09:13:39Z,365,emoji red heart
4701,2018-04-14T17:29:29Z,394,Hahaha arme jij
4688,2018-04-13T08:08:07Z,468,Lieff!
4683,2018-04-12T18:15:13Z,366,Echt heel mooi!
4679,2018-04-12T18:04:50Z,197,"Ik @friesbeforeguys, taggen gaat zo makkelijk hierop"
4684,2018-04-16T09:38:19Z,339,Lynn is zo liefdevol
4815,2018-04-18T22:50:02Z,418,@BobvanNoort
4811,2018-04-18T21:46:42Z,398,@Joseph Peet
4801,2018-04-19T10:30:14Z,394,same
4802,2018-04-19T09:25:42Z,107,"@Sequoyah, @Koen@bartos,@Calvin, @Flomeister"
4788,2018-04-18T08:24:35Z,365,emoji clapping hands
4786,2018-04-18T12:30:50Z,297,Oeh vanavond even kijken. Nu 20 min pauze in het zonnetje voor ik weer mag verpieteren in het lab
4778,2018-04-18T11:09:34Z,440,Ingevuld!
4779,2018-04-18T02:02:55Z,229,Hahaha me
4756,2018-04-18T12:48:14Z,107,Lel
4754,2018-04-17T09:33:10Z,106,Eindhoven Voetbalhoofdstad!
4896,2018-04-22T22:56:27Z,365,emoji clapping hands
4893,2018-04-22T21:22:19Z,394,Deze blijft goed
4889,2018-04-22T19:26:13Z,179,Enschede :)
4870,2018-04-21T12:18:10Z,203,emoji grinning face with sweat emoji grinning face with sweat emoji grinning face with sweat
4856,2018-04-23T09:02:54Z,373,emoji red heart emoji red heart
4853,2018-04-20T22:11:18Z,178,Moooi copyright
4838,2018-04-21T11:39:34Z,266,This
4919,2018-04-24T09:10:57Z,367,emoji face with tears of joy emoji face with tears of joy
4936,2018-04-24T21:58:02Z,228,Fashionista
3555,2018-03-16T10:08:01Z,186,@Xana haha
3554,2018-03-16T18:12:19Z,451,@yannick hiphop op wooase?
3549,2018-03-16T08:41:14Z,231,@Iris woohooo
3534,2018-03-15T11:51:01Z,306,emoji face with tears of joy emoji face with tears of joy @Nahid Harboul
3535,2018-03-15T14:48:59Z,374,emoji smiling face with heart-eyes
3536,2018-03-15T16:17:30Z,373,Hahaha
3537,2018-03-15T19:33:51Z,208,emoji party popper
3528,2018-03-15T12:59:04Z,313,Gefeliciteerd!
3516,2018-03-15T13:25:56Z,225,emoji grinning face with big eyes
3523,2018-03-15T14:30:10Z,266,Ik ook! @Arden
3092,2018-03-15T10:07:42Z,246,Zin in! emoji grinning face
3405,2018-03-14T13:23:08Z,354,En lief
3382,2018-03-14T23:04:51Z,354,Thijs is jarig! emoji smiling face with smiling eyes
3220,2018-03-14T13:55:37Z,366,emoji open hands
2809,2018-03-14T15:42:36Z,445,@LaraBrockhoff
3685,2018-03-19T18:55:06Z,107,@koen
3655,2018-03-18T23:19:34Z,394,@rickuilenbroek
3626,2018-03-18T20:40:11Z,373,Wauw emoji OK hand
3586,2018-03-17T09:41:30Z,231,Muchae felicidades!!
3779,2018-03-22T17:01:59Z,395,emoji smiling face with heart-eyes
3776,2018-03-22T15:06:13Z,366,emoji face with tears of joy
3773,2018-03-22T10:31:30Z,120,emoji woman dancing 1/4 emoji party popper emoji smiling face with heart-eyes
3771,2018-03-21T23:22:46Z,374,emoji face with tears of joy emoji face with tears of joy
3770,2018-03-23T18:49:08Z,325,emoji face screaming in fear emoji face screaming in fear emoji smiling face with sunglasses emoji smiling face with sunglasses emoji smiling face with sunglasses emoji smiling face with sunglasses emoji smiling face with sunglasses emoji smiling face with sunglasses 1/21/21/21/2
3747,2018-03-21T14:10:57Z,378,Mooi!
3744,2018-03-21T08:49:35Z,468,emoji woman dancing 1/2 emoji woman dancing 1/2
3745,2018-03-21T15:52:12Z,308,Jaaaa ik ga mee emoji smirking face emoji smirking face
3733,2018-03-21T00:06:14Z,432,@danielkooiman
3722,2018-03-20T19:50:30Z,366,emoji face with tears of joy
3695,2018-03-20T10:03:46Z,207,@louanne
3865,2018-03-25T15:21:14Z,330,Zozo pes veel likes
3860,2018-03-25T23:49:06Z,395,Loool emoji face with tears of joy
3843,2018-03-24T08:44:20Z,365,emoji dizzy face
3840,2018-03-26T01:06:59Z,106,Bij zijn is meemaken! @kooner
3827,2018-03-24T03:10:05Z,229,Me af
3808,2018-03-23T10:33:32Z,178,NA
3807,2018-03-23T12:44:10Z,199,Cuuuuuute
3937,2018-03-28T09:49:41Z,232,Jaaa @fleur @lily @ruth @iris emoji smiling face with heart-eyes
3932,2018-03-27T15:16:33Z,256,Hahaha
3933,2018-03-26T19:14:46Z,179,@Liselotte Tieman
3929,2018-03-26T19:45:13Z,365,Zo leukk emoji smiling face with heart-eyes
3926,2018-03-27T09:23:59Z,200,emoji face with tears of joy emoji face with tears of joy emoji face with tears of joy emoji face with tears of joy emoji clapping hands
3910,2018-03-26T10:31:12Z,468,Yeeey emoji woman dancing 1/2
3988,2018-03-28T11:58:52Z,468,emoji face with tears of joy
3972,2018-03-28T10:25:31Z,139,@annehuvenaars hahaha wij
3964,2018-03-31T09:58:21Z,181,Hahah @aubs
4112,2018-04-01T11:42:41Z,139,emoji face with tears of joy emoji face with tears of joy
4111,2018-04-01T09:44:18Z,427,emoji smiling cat face with heart-eyes emoji smiling cat face with heart-eyes emoji smiling cat face with heart-eyes
4069,2018-03-31T13:25:09Z,180,daaaaamn
4029,2018-03-30T13:42:18Z,398,):
3997,2018-03-29T09:44:53Z,107,@sequoyah
3996,2018-03-31T09:57:14Z,181,emoji grinning face
4185,2018-04-02T22:49:43Z,181,emoji smiling face with heart-eyes
4182,2018-04-03T00:14:15Z,378,Omg
4169,2018-04-03T10:38:37Z,142,emoji smiling face with heart-eyes
4147,2018-04-01T19:23:09Z,468,HAha
4143,2018-03-31T19:28:44Z,196,Nee
4217,2018-04-04T11:01:27Z,468,emoji face with tears of joy
4534,2018-04-08T00:48:57Z,366,emoji face with tears of joy
4276,2018-04-08T00:49:47Z,366,emoji face with tears of joy emoji face with tears of joy
4270,2018-04-06T07:30:27Z,365,emoji grinning face with sweat
4269,2018-04-06T11:39:23Z,107,Rt
4574,2018-04-08T18:13:23Z,219,HAHA die comment boven mij emoji crying face emoji crying face emoji crying face
4567,2018-04-08T13:32:16Z,106,"""Hoe voel je je nu"""
4556,2018-04-09T09:04:50Z,468,emoji face with tears of joy emoji face with tears of joy
4636,2018-04-11T10:29:00Z,341,emoji face with tears of joy
4632,2018-04-11T11:53:58Z,197,Lit
4593,2018-04-09T12:25:23Z,325,emoji smiling face with heart-eyes emoji smiling face with heart-eyes
4592,2018-04-10T10:15:13Z,195,Haha top
